rule,path,reportedLine,disposition,finding,reason
"artifact-secret-leak","apps/web/dist/server/assets/api-PiBH9Ufc.js.map","1","Rejected browser-exposure claim","","Flagged file is dist/server. Built Wrangler config serves assets from ../client; local server sourcemap presence does not establish a client secret leak."
"artifact-env-leak","apps/web/dist/server/assets/server-D6gI68JM.js.map","1","Rejected browser-exposure claim","","Flagged file is dist/server. Built Wrangler config serves assets from ../client; local server sourcemap presence does not establish a client secret leak."
"js-combine-iterations","apps/web/scripts/check-worker-deployment-boundaries.ts","38","Not promoted","","Small bounded UI/config collections; no demonstrated performance issue justifies harder-to-read reducers or extra sets."
"js-combine-iterations","apps/web/scripts/check-worker-deployment-boundaries.ts","41","Not promoted","","Small bounded UI/config collections; no demonstrated performance issue justifies harder-to-read reducers or extra sets."
"js-set-map-lookups","apps/web/scripts/check-worker-deployment-boundaries.ts","93","Not promoted","","Small bounded UI/config collections; no demonstrated performance issue justifies harder-to-read reducers or extra sets."
"todo","apps/web/src/components/atmospheric-background.tsx","576","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"todo","apps/web/src/components/atmospheric-background.tsx","633","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"effect-needs-cleanup","apps/web/src/components/auth-visual.tsx","525","Rejected leak claim","","Inspected disposal/ref cleanup paths in auth-visual, contour-lines, and audio-recorder. F50 separately covers unreported recorder runtime errors."
"effect-raf-loop-needs-cancel","apps/web/src/components/auth-visual.tsx","927","Rejected leak claim","","Inspected disposal/ref cleanup paths in auth-visual, contour-lines, and audio-recorder. F50 separately covers unreported recorder runtime errors."
"effect-observer-needs-disconnect","apps/web/src/components/auth-visual.tsx","1036","Rejected leak claim","","Inspected disposal/ref cleanup paths in auth-visual, contour-lines, and audio-recorder. F50 separately covers unreported recorder runtime errors."
"effect-observer-needs-disconnect","apps/web/src/components/auth-visual.tsx","1038","Rejected leak claim","","Inspected disposal/ref cleanup paths in auth-visual, contour-lines, and audio-recorder. F50 separately covers unreported recorder runtime errors."
"effect-needs-cleanup","apps/web/src/components/contour-lines.tsx","179","Rejected leak claim","","Inspected disposal/ref cleanup paths in auth-visual, contour-lines, and audio-recorder. F50 separately covers unreported recorder runtime errors."
"todo","apps/web/src/components/contour-lines.tsx","222","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"react-compiler-no-manual-memoization","apps/web/src/components/providers.tsx","39","Not promoted","","Preserve stable QueryClient ownership; F58 recommends lazy state, not a new client each render."
"react-compiler-no-manual-memoization","apps/web/src/components/vertical-slot.tsx","70","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"effect-raf-loop-needs-cancel","apps/web/src/components/workspace-dither-background.tsx","242","Rejected leak claim","","Inspected disposal/ref cleanup paths in auth-visual, contour-lines, and audio-recorder. F50 separately covers unreported recorder runtime errors."
"js-combine-iterations","apps/web/src/features/ai/domain/connector-tokens.ts","40","Not promoted","","Small bounded UI/config collections; no demonstrated performance issue justifies harder-to-read reducers or extra sets."
"no-high-complexity-react-function","apps/web/src/features/chat/components/chat-message.tsx","26","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-high-complexity-react-function","apps/web/src/features/chat/components/chat-view.tsx","96","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"react-compiler-no-manual-memoization","apps/web/src/features/chat/components/chat-view.tsx","138","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"no-high-complexity-react-function","apps/web/src/features/chat/components/tool-activity.tsx","238","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"no-high-complexity-react-function","apps/web/src/features/chat/components/tool-activity.tsx","485","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"react-compiler-no-manual-memoization","apps/web/src/features/compose/components/compose-editor.tsx","262","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"no-high-complexity-react-function","apps/web/src/features/gmail-useful-details/components/gmail-useful-detail-card.tsx","95","Existing architecture concern","F32","Large responsibility groups are covered by F32. Function length/complexity is a review prompt, not another independently counted bug."
"static-components","apps/web/src/features/home/components/reveal.tsx","45","Confirmed","F48","m.create executes inside render; source lines 42 and 71 verified (scanner locations differ)."
"static-components","apps/web/src/features/home/components/reveal.tsx","74","Confirmed","F48","m.create executes inside render; source lines 42 and 71 verified (scanner locations differ)."
"react-compiler-no-manual-memoization","apps/web/src/features/hotkeys/components/keyboard-shortcuts-context.tsx","36","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"no-pass-live-state-to-parent","apps/web/src/features/mailbox/components/mailbox-workspace.tsx","253","Rejected","","Effect coordinates external connection completion, refetch, and route cleanup; it is not merely redundant derived state."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace.tsx","783","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"no-many-boolean-props","apps/web/src/features/mailbox/components/mailbox-workspace/first-run-managed-mail-setup.tsx","159","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"no-many-boolean-props","apps/web/src/features/mailbox/components/mailbox-workspace/mailbox-workspace-content.tsx","260","Not promoted","","A diagnostic alone does not establish a defect; retain correct behavior unless a measured or concrete maintenance problem supports a change."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-messages.ts","258","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-messages.ts","293","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-messages.ts","333","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-messages.ts","359","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-messages.ts","367","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-pending-actions.ts","36","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-pending-actions.ts","43","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-pending-actions.ts","50","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-pending-actions.ts","58","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
"react-compiler-no-manual-memoization","apps/web/src/features/mailbox/components/mailbox-workspace/use-mailbox-pending-actions.ts","71","Not promoted","","Compiler availability alone does not justify mechanically removing identity-sensitive or documented memoization."
