id,priority,title,report
"F01","P1","Mail usage locking can deadlock locally and is unsupported through Hyperdrive","reliability.md#f01"
"F02","P1","Failed API sends strand idempotency keys","reliability.md#f02"
"F03","P1","Accepted sends can lose local records and accounting","reliability.md#f03"
"F04","P1","Managed draft and sent attachment bytes are not persisted","reliability.md#f04"
"F05","P1","Composer sends race spending limits and lack idempotency","reliability.md#f05"
"F06","P1","Receipt cleanup prevents reliable usage retries","reliability.md#f06"
"F07","P1","Post-ingestion failures permanently skip automation","reliability.md#f07"
"F08","P1","Action retries can duplicate writes or replay another operation","reliability.md#f08"
"F09","P1","Action leases lack renewal and stale-owner protection","reliability.md#f09"
"F10","P1","Concurrent chat approvals can execute the same action twice","reliability.md#f10"
"F11","P1","Mailbox actions lack execution-time AI budget enforcement","reliability.md#f11"
"F12","P1","Failed close-save clears draft recovery resources","reliability.md#f12"
"F13","P1","Transient domain verification failures can disable inbound eligibility","reliability.md#f13"
"F14","P2","Wait-all graph merges are implemented as pass-through","reliability.md#f14"
"F15","P2","Compose handoff is unscoped and consumed during render","reliability.md#f15"
"F16","P2","Duplicate MIME writers emit invalid or changed messages","reliability.md#f16"
"F17","P2","Compose structural headers permit newline injection","reliability.md#f17"
"F18","P2","Calendar parsing confuses alarm and event properties","reliability.md#f18"
"F19","P2","A duplicate return URL helper permits external redirection","reliability.md#f19"
"F20","P2","Migration safety checks miss destructive legal syntax","reliability.md#f20"
"F21","P2","CI's SDK build selector silently matches no package","reliability.md#f21"
"F22","P2","Automated architecture checks cover only part of the policy","quality.md#f22"
"F23","P2","Shared mail contracts still belong to the Gmail implementation","quality.md#f23"
"F24","P2","Database callback dispatch and mocking proxy are overcomplicated","quality.md#f24"
"F25","P2","Request-owned local database pools have no explicit cleanup","quality.md#f25"
"F26","P2","Error reporting loses context and compose failures are inconsistently handled","quality.md#f26"
"F27","P2","Optional browser storage can crash rendering","quality.md#f27"
"F28","P2","Session changes do not reset the in-memory query client","quality.md#f28"
"F29","P2","Database IP limiting lacks retention and conflates webhooks with login","quality.md#f29"
"F30","P2","SDK contracts drift and React rendering is a mandatory dependency","quality.md#f30"
"F31","P2","Semantic search ordering prevents HNSW use","quality.md#f31"
"F32","P2","Large UI modules combine independently changing responsibilities","quality.md#f32"
"F33","P2","Demo mail duplicates production domain behavior","quality.md#f33"
"F34","P3","Shared theme code hardcodes an application route","quality.md#f34"
"F35","P3","Trivial helpers contradict the simplicity convention","quality.md#f35"
"F36","P3","CSS hue unit parsing has unreachable branches","quality.md#f36"
"F37","P3","Architecture documentation has a stale deployment ownership map","quality.md#f37"
"F38","P2","Tests need core failure scenarios rather than implementation assertions","quality.md#f38"
"F39","P2","The custom workflow engine needs a bounded keep-or-replace decision","quality.md#f39"
"F40","P2","Action usage reporting is outside the awaited queue lifecycle","quality.md#f40"
"F41","P2","Pinned dependencies have an unresolved advisory backlog","quality.md#f41"
"F42","P1","Connector token handling is duplicated, and the copies already disagree","granular-quality.md#f42"
"F43","P2","A refresh marks a connector unusable but still hands its token to the action","granular-quality.md#f43"
"F44","P2","Connector cancellation stops at the token-refresh boundary","granular-quality.md#f44"
"F45","P2","Omitting an optional owner silently widens connector authorization","granular-quality.md#f45"
"F46","P2","Optional cache persistence participates in the mutation success contract","granular-quality.md#f46"
"F47","P2","Whole-query rollback can erase mail received while an action is pending","granular-quality.md#f47"
"F48","P2","Landing-page wrappers create a new React component on every render","granular-quality.md#f48"
"F49","P2","BIMI caches expire values without bounding retained keys","granular-quality.md#f49"
"F50","P2","Recording failures after startup disappear without an error contract","granular-quality.md#f50"
"F51","P3","Audio support detection omits the microphone acquisition API","granular-quality.md#f51"
"F52","P3","Twenty-two conditional class expressions violate the required object syntax","granular-quality.md#f52"
"F53","P3","useEntrance is an ordinary value factory named like a React hook","granular-quality.md#f53"
"F54","P3","Immediate values are needlessly wrapped in resolved promises","granular-quality.md#f54"
"F55","P2","Automatic-label usage reporting is copied across provider services","granular-quality.md#f55"
"F56","P3","Two settings screens independently define the same mailbox navigation contract","granular-quality.md#f56"
"F57","P3","The Durable Object duplicates the shared Worker error response","granular-quality.md#f57"
"F58","P3","QueryClient ownership uses a performance cache and redundant default objects","granular-quality.md#f58"
"F59","P3","Window activity has different initial and subsequent definitions","granular-quality.md#f59"
"F60","P3","A bounded stream reader uses async recursion for an ordinary loop","granular-quality.md#f60"
"F61","P3","The two web JSON body readers have different resource and decoding rules","granular-quality.md#f61"
"F62","P3","Strict event types are followed by impossible undefined checks","granular-quality.md#f62"
"F63","P2","Chat unconditionally transcodes browser audio through a handwritten WAV encoder","granular-quality.md#f63"
"F64","P3","Compose omits the transcription limits that chat checks before upload","granular-quality.md#f64"
"F65","P2","Transcription error classification depends on English message prefixes","granular-quality.md#f65"
"F66","P3","The recording value type is declared twice with the same fields","granular-quality.md#f66"
"F67","P1","Backfill ownership is checked after another mailbox's batch runs","backend-details.md#f67"
"F68","P2","Reading backfill status is the scheduler, and processing stops without readers","backend-details.md#f68"
"F69","P2","Backfill writes can resurrect cancelled jobs and overwrite concurrent progress","backend-details.md#f69"
"F70","P2","Backfill advances past failures without a retry record or useful failure detail","backend-details.md#f70"
"F71","P2","Rule preview ORs repeated filter types while execution ANDs every filter","backend-details.md#f71"
