group,finding,path,line,name,lines,decision
"1","","apps/web/src/features/compose/domain/draft.ts","246","escapeComposeHtml","7","Keep unless a concrete contract or drift cost justifies consolidation"
"1","","packages/orpc/src/managed-mail/rules/evaluator.ts","135","escapeHtml","7","Keep unless a concrete contract or drift cost justifies consolidation"
"2","F56","apps/web/src/features/settings/components/add-mailbox-settings-view.tsx","113","navigateToMailbox","11","Own settings destination in one routing boundary"
"2","F56","apps/web/src/features/settings/components/mailboxes-list-settings-view.tsx","143","navigateToMailbox","11","Own settings destination in one routing boundary"
"3","F33","apps/web/src/lib/gmail/demo-mail.ts","63","getDemoSenderAvatarUrls","23","Covered by existing demo-domain duplication finding"
"3","F33","apps/web/src/lib/managed-mail/demo-managed-mail.ts","110","getDemoSenderAvatarUrls","23","Covered by existing demo-domain duplication finding"
"4","","packages/aws/src/inbound.ts","52","getS3Client","7","Keep unless a concrete contract or drift cost justifies consolidation"
"4","","packages/aws/src/receipt.ts","61","getS3Client","7","Keep unless a concrete contract or drift cost justifies consolidation"
"5","F57","packages/cloudflare/src/gmail-live-sync-mailbox.ts","10","requestErrorResponse","9","Reuse existing exported Worker error boundary"
"5","F57","packages/cloudflare/src/worker-utils.ts","311","requestErrorResponse","9","Reuse existing exported Worker error boundary"
"6","","packages/mail/src/compose/mime.ts","8","bytesToBase64","8","Keep unless a concrete contract or drift cost justifies consolidation"
"6","","packages/sdk/src/index.ts","163","bytesToBase64","7","Keep unless a concrete contract or drift cost justifies consolidation"
"7","F42","packages/orpc/src/connectors/runtime.ts","105","getGoogleCalendarOAuthClient","4","Consolidate duplicated connector execution"
"7","F42","packages/orpc/src/connectors/service.ts","198","getGoogleCalendarOAuthClient","4","Consolidate duplicated connector execution"
"8","F42","packages/orpc/src/connectors/runtime.ts","110","getLinearOAuthClient","4","Consolidate duplicated connector execution"
"8","F42","packages/orpc/src/connectors/service.ts","203","getLinearOAuthClient","4","Consolidate duplicated connector execution"
"9","F42","packages/orpc/src/connectors/runtime.ts","115","getConnectorOAuthClient","12","Consolidate duplicated connector execution"
"9","F42","packages/orpc/src/connectors/service.ts","240","getConnectorOAuthClient","12","Consolidate duplicated connector execution"
