"id","finding","path","line","end_line","export","classification","definition_status","evidence","action","preserve_or_coordinate"
"AE01","F120","apps/web/src/lib/agent-access.server.ts","29","32","isAiCrawlerUserAgent","remove_export","internal_only","Called by isAiCrawlerRequest at line 35; tests import isAiCrawlerRequest rather than this helper","Remove export modifier only","Keep the definition and its existing behavior"
"AE02","F120","apps/web/src/lib/agent-content.server.ts","4","4","siteUrl","remove_export","internal_only","Used throughout local page strings and sitemap generation, including lines 27 and 187","Remove export modifier only","Keep the definition and its existing behavior"
"AE03","F120","apps/web/src/lib/agent-content.server.ts","7","7","contentLastUpdated","remove_export","internal_only","Used by local sitemap generation at line 187","Remove export modifier only","Keep the definition and its existing behavior"
"AE04","F120","apps/web/src/lib/query-persister.ts","43","43","PERSISTED_QUERY_MAX_AGE_MS","remove_export","internal_only","Passed to the local persister maxAge option at line 167","Remove export modifier only","Keep the definition and its existing behavior"
"AE05","F120","apps/web/src/features/compose/domain/compose-form.ts","15","22","emptyComposeFormValues","delete_definition","unused_definition","No reference beyond declaration, including compose tests","Delete unused definition","Keep ComposeFormValues and live draft/form conversion helpers"
"AE06","F120","apps/web/src/features/compose/domain/template-placeholders.ts","19","39","findTemplatePlaceholders","remove_export","internal_only","Used by local selection helpers at lines 46 and 61","Remove export modifier only","Keep helper and live template-value reexports"
"AE07","F120","apps/web/src/features/hotkeys/domain/hotkey-guards.ts","51","54","isEditableShortcutTarget","remove_export","internal_only","Called by shouldIgnoreAppShortcut at line 62","Remove export modifier only","Keep the definition and its existing behavior"
"AE08","F120","apps/web/src/features/hotkeys/domain/hotkey-guards.ts","56","59","hasOpenBlockingDialog","remove_export","internal_only","Called by shouldIgnoreAppShortcut at line 63","Remove export modifier only","Keep the definition and its existing behavior"
"AE09","F120","apps/web/src/features/hotkeys/domain/keyboard-shortcuts.ts","281","282","getShortcutKeys","delete_definition","unused_definition","No reference beyond declaration, including keyboard shortcut tests","Delete unused definition","Keep KeyboardShortcut type and live shortcut definitions"
"AE10","F120","apps/web/src/features/message-delivery/domain/message-delivery-query.ts","16","19","getMessageDeliveryQueryKey","remove_export","internal_only","Used by local queryOptions at line 35","Remove export modifier only","Preserve mailboxId and messageId in the generated query key"
"AE11","F120","apps/web/src/features/message-delivery/domain/message-delivery-query.ts","62","63","getMessageListDeliveryQueryKey","remove_export","internal_only","Used by local list queryOptions at line 96","Remove export modifier only","Preserve mailboxId and selected message IDs in the query key"
"AE12","F120","apps/web/src/features/settings/domain/settings-search.ts","80","89","SETTINGS_SEARCH_ENTRIES","remove_export","internal_only","Filtered by the local search helper at line 125","Remove export modifier only","Keep the definition and its existing behavior"
"AE13","F120","apps/web/src/features/home/components/reveal.tsx","14","24","useEntrance","remove_export","internal_only","Called by both local components at lines 41 and 70","Remove export modifier only","Keep helper; parent owns the separate Reveal runtime issue"
"AE14","F120","apps/web/src/lib/managed-mail/demo-managed-mail.ts","39","43","DEMO_MANAGED_LABEL_IDS","remove_export","internal_only","Used in local label definitions and fixtures from lines 45, 85 and 165","Remove export modifier only","Keep the definition and its existing behavior"
"AE15","F120","apps/web/src/lib/managed-mail/demo-managed-mail.ts","1141","1143","resetManagedDemoMail","delete_definition","unused_definition","No call or reexport beyond declaration, including tests","Delete unused definition","Keep writeDemoState and createInitialDemoState used by live demo operations"
"AE16","F120","apps/web/src/lib/gmail/demo-mail.ts","440","442","resetLandingDemoMail","delete_definition","unused_definition","No call or reexport beyond declaration, including tests","Delete unused definition","Keep landingDemoState and createInitialDemoState used elsewhere"
"AE17","F120","apps/web/src/lib/gmail/demo-mail.ts","741","770","getLandingDemoMailboxes","delete_definition","unused_definition","No call or reexport beyond declaration; unused mailbox-list factory","Delete unused definition","Keep live getDemoMailboxes and LANDING_DEMO_MAILBOX_ID consumers"
"AE18","F120","apps/web/src/lib/gmail/thread-query-keys.ts","1","1","THREAD_QUERY_VERSION","remove_export","internal_only","Used by both local query-key factories at lines 4 and 7","Remove export modifier only","Keep version value and existing cache keys"
