"finding","kind","path","line","symbol","verification","simple_fix"
"F112","dependency","packages/orpc/package.json","41","@cfworker/json-schema","Knip and owning-workspace source/config searches found no consumer","Remove declaration through vp and refresh lockfile"
"F112","dependency","packages/orpc/package.json","42","@modelcontextprotocol/sdk","No owning-workspace consumer; installed @ai-sdk/mcp does not require this peer","Remove declaration through vp and refresh lockfile"
"F112","dependency","packages/billing/package.json","19","@quieter/ai","Knip and owning-workspace import searches found no consumer","Remove unused workspace dependency"
"F112","dependency","packages/aws/package.json","15","@aws-sdk/client-sesv2","No AWS-workspace consumer; actual SESv2 consumers declare dependency in orpc","Remove AWS declaration; retain orpc dependency"
"F112","dependency","package.json","45","fast-xml-parser","No root-workspace consumer; packages/mail imports and declares its own dependency","Remove root declaration; retain mail dependency"
"F113","dead_file","packages/orpc/src/managed-mail/messages/deletion.ts","104","deleteManagedMessage; deleteManagedThread","179 lines; no incoming import/reexport/dynamic edge; no package export or export-root reachability; symbol search finds only declarations","Remove unused module; do not wire it into a router to silence unused-code output"
"F114","dead_file","apps/web/src/components/contour-lines.tsx","176","ContourLines","323 lines; Knip; no incoming graph edge or package export; no render/registry caller","Remove file and obsolete lint override entry"
"F115","dead_file","apps/web/src/lib/terms-acceptance.ts","5","setTermsAcceptanceCookie","13 lines; Knip; no incoming graph edge or package export; no caller; separate server terms reader remains used","Remove orphan helper and lint exception; preserve server reader"
"F116","unused_adapter","packages/orpc/src/gmail-compose.ts","32","toChatComposeInput","Knip and symbol search find no caller; app uses toChatComposeMessageInput instead","Remove adapter; preserve saveGmailDraft and sendGmailMessage"
"F116","adapter_only_type","packages/orpc/src/gmail-compose.ts","24","ChatComposeMessage","Only reference is parameter type of unused toChatComposeInput","Remove with adapter; not an independent runtime function"
"F116","unused_alias","packages/ai/src/classify-gmail-message.ts","163","classifyGmailMessage","Only occurrence is alias declaration; consumers use classifyMailMessage","Remove obsolete alias; retain neutral implementation"
"F116","unused_alias","packages/ai/src/extract-gmail-useful-detail.ts","257","extractGmailUsefulDetail","Only occurrence is alias declaration; consumers use extractMailUsefulDetail","Remove obsolete alias; retain neutral implementation"
