finding,kind,path,line,detail
"F42","finding-reference","packages/orpc/src/connectors/service.ts","772","Connector token handling is duplicated, and the copies already disagree"
"F42","finding-reference","packages/orpc/src/connectors/service.ts","847","Connector token handling is duplicated, and the copies already disagree"
"F42","finding-reference","packages/orpc/src/connectors/runtime.ts","216","Connector token handling is duplicated, and the copies already disagree"
"F42","finding-reference","packages/orpc/src/routers/connectors.ts","23","Connector token handling is duplicated, and the copies already disagree"
"F42","finding-reference","packages/orpc/src/connectors/service.ts","1059","Connector token handling is duplicated, and the copies already disagree"
"F42","finding-reference","packages/orpc/src/connectors/runtime.ts","537","Connector token handling is duplicated, and the copies already disagree"
"F42","finding-reference","packages/orpc/tests/local-connector-isolation.test.ts","12","Connector token handling is duplicated, and the copies already disagree"
"F43","finding-reference","packages/orpc/src/connectors/runtime.ts","313","A refresh marks a connector unusable but still hands its token to the action"
"F43","finding-reference","packages/orpc/src/connectors/runtime.ts","320","A refresh marks a connector unusable but still hands its token to the action"
"F43","finding-reference","packages/orpc/src/connectors/runtime.ts","358","A refresh marks a connector unusable but still hands its token to the action"
"F43","finding-reference","packages/orpc/src/connectors/runtime.ts","454","A refresh marks a connector unusable but still hands its token to the action"
"F44","finding-reference","packages/orpc/src/connectors/runtime.ts","247","Connector cancellation stops at the token-refresh boundary"
"F44","finding-reference","packages/orpc/src/connectors/runtime.ts","393","Connector cancellation stops at the token-refresh boundary"
"F44","finding-reference","packages/orpc/src/connectors/service.ts","786","Connector cancellation stops at the token-refresh boundary"
"F45","finding-reference","packages/orpc/src/connectors/runtime.ts","411","Omitting an optional owner silently widens connector authorization"
"F45","finding-reference","packages/orpc/src/connectors/runtime.ts","431","Omitting an optional owner silently widens connector authorization"
"F45","finding-reference","packages/orpc/src/connectors/agent-tools.ts","85","Omitting an optional owner silently widens connector authorization"
"F45","finding-reference","packages/orpc/src/connectors/linear-mcp.ts","243","Omitting an optional owner silently widens connector authorization"
"F46","finding-reference","apps/web/src/lib/gmail/inbox-query/actions.ts","135","Optional cache persistence participates in the mutation success contract"
"F46","finding-reference","apps/web/src/lib/gmail/inbox-query/actions.ts","285","Optional cache persistence participates in the mutation success contract"
"F46","finding-reference","apps/web/src/lib/gmail/inbox-query/actions.ts","302","Optional cache persistence participates in the mutation success contract"
"F46","finding-reference","apps/web/src/lib/query-persister.ts","159","Optional cache persistence participates in the mutation success contract"
"F47","finding-reference","apps/web/src/lib/gmail/inbox-query/query-cache.ts","89","Whole-query rollback can erase mail received while an action is pending"
"F47","finding-reference","apps/web/src/lib/gmail/inbox-query/query-cache.ts","110","Whole-query rollback can erase mail received while an action is pending"
"F47","finding-reference","apps/web/src/lib/gmail/inbox-query/actions.ts","214","Whole-query rollback can erase mail received while an action is pending"
"F47","finding-reference","apps/web/src/lib/gmail/inbox-query/actions.ts","273","Whole-query rollback can erase mail received while an action is pending"
"F48","finding-reference","apps/web/src/features/home/components/reveal.tsx","42","Landing-page wrappers create a new React component on every render"
"F48","finding-reference","apps/web/src/features/home/components/reveal.tsx","71","Landing-page wrappers create a new React component on every render"
"F48","finding-reference","vite.config.ts","277","Landing-page wrappers create a new React component on every render"
"F49","finding-reference","packages/mail/src/bimi.ts","423","BIMI caches expire values without bounding retained keys"
"F49","finding-reference","packages/mail/src/bimi.ts","875","BIMI caches expire values without bounding retained keys"
"F49","finding-reference","packages/mail/src/bimi.ts","917","BIMI caches expire values without bounding retained keys"
"F49","finding-reference","packages/mail/src/sender-avatar.ts","48","BIMI caches expire values without bounding retained keys"
"F50","finding-reference","apps/web/src/lib/audio-recorder.ts","100","Recording failures after startup disappear without an error contract"
